Protein IDs	Ratio	pValue
P26640	0.950016679	0.883878
Q92888	0.95112895	0.719365
Q9H4E7	0.95132361	0.887775
P14780	0.951826252	0.953751
P62753	0.952362401	0.80631
Q96IY4	0.952603976	0.637811
Q9H0U4	0.95334785	0.918843
P08238	0.954526777	0.769297
Q9UL25	0.954888724	0.8277
Q92542	0.954984134	0.746246
Q99829	0.955680455	0.957252
P48643	0.95616548	0.882053
Q01518	0.956176187	0.874221
O00186	0.95659446	0.967713
Q96FZ7	0.956764256	0.882408
Q9P258	0.957133656	0.593359
P07237	0.957275684	0.778679
Q13136	0.957405656	0.62631
P61077	0.957788602	0.991059
Q13057	0.957892523	0.904964
Q9Y4F9	0.958476539	0.806566
Q14677	0.958900613	0.834236
P55036	0.959091102	0.770345
P41227	0.959655679	0.686442
O14964	0.959680822	0.968097
Q9UL18	0.960053405	0.968689
P34932	0.960928881	0.742252
Q00722	0.960996679	0.680039
P11766	0.961463089	0.980734
P49589	0.961516283	0.861455
P48735	0.962184474	0.789524
P46781	0.962897573	0.740681
P12829	0.963814552	0.87698
P16403	0.964356949	0.765804
P07355	0.965635676	0.744397
Q9BUJ2	0.966695212	0.715785
Q9H2K8	0.966799106	0.790493
P61923	0.967082978	0.861494
P52907	0.967186945	0.729967
Q9UNQ0	0.967260448	0.763754
P80108	0.967518097	0.891827
Q8NI99	0.967565981	0.882182
P37108	0.967616208	0.587497
Q14008	0.967876464	0.807099
Q13561	0.967911192	0.839269
P62318	0.968122363	0.829592
Q6WN34	0.968252104	0.981295
Q7Z7A4	0.968354694	0.783826
Q9Y662	0.968874203	0.966096
Q04756	0.968929776	0.969097
Q13555	0.969716448	0.756306
O75569	0.969811866	0.815372
P51858	0.969919364	0.686713
Q7Z6I6	0.970037347	0.563586
Q6ZUJ8	0.970297505	0.963527
Q14289	0.970626942	0.622359
P11717	0.970865204	0.71406
P02747	0.971442404	0.981211
Q6ZUM4	0.972027972	0.580097
Q15631	0.973894426	0.991545
P48740	0.974192631	0.821021
P47756	0.974249162	0.820109
P25685	0.974278261	0.762557
O15067	0.974772434	0.82962
Q86V81	0.975279366	0.882173
Q2M2I8	0.97584748	0.51899
Q13618	0.975901876	0.990993
Q9NVJ2	0.976264219	0.819702
P55795	0.976334221	0.643734
P55058	0.97681926	0.76347
P61978	0.977488335	0.744056
O75427	0.978218855	0.582753
Q15172	0.979029266	0.804914
Q9Y371	0.979206736	0.744201
P02746	0.979238634	0.991776
Q15438	0.979553641	0.700814
P35637	0.980251874	0.74436
Q8WUR7	0.980707486	0.974198
Q3YEC7	0.981089325	0.875361
Q96AG4	0.981311679	0.644829
P05387	0.981521947	0.952176
P06727	0.982083339	0.767921
Q1MSJ5	0.982997874	0.632392
P00748	0.983323582	0.937335
P00491	0.983364769	0.872294
P08631	0.983904471	0.942123
Q8IYJ3	0.984077003	0.440141
Q96T51	0.984312396	0.918583
Q9NZZ3	0.985476382	0.982343
Q13217	0.98605074	0.95997
P61088	0.986267235	0.868934
O60331	0.988002836	0.881644
P15153	0.988809156	0.712476
Q96S96	0.98904286	0.973435
Q01844	0.989135503	0.757599
P98179	0.989731192	0.743543
Q99490	0.991170073	0.64277
Q12913	0.991239123	0.999381
P61006	0.991662165	0.999337
Q13283	0.992462312	0.989331
P38159	0.992481281	0.668267
P42338	0.992596106	0.882059
O15117	0.992667984	0.712404
P38117	0.993020225	0.654623
P11142	0.993492006	0.884318
Q92974	0.994356375	0.824324
P04075	0.994822849	0.918249
Q8IWA5	0.995129793	0.622165
P26927	0.995670662	0.980617
Q14738	0.995829273	0.773012
Q04637	0.996019484	0.93741
P50991	0.996498861	0.704054
P09543	0.996676586	0.913329
Q7KZI7	0.997804188	0.633152
Q9H4G4	0.998053898	0.861653
Q8TD55	0.998665691	0.594535
O00571	1.000407526	0.720438
Q15418	1.000575767	0.783632
P57737	1.00127002	0.626134
O14617	1.001313415	0.511096
P42766	1.00142924	0.966698
P15169	1.002000305	0.930067
P48444	1.002151401	0.806995
Q13093	1.002686784	0.914827
P27448	1.003010216	0.739961
O60869	1.003214586	0.727271
P22314	1.003604922	0.873738
Q03169	1.004323154	0.815777
P23142	1.004650848	0.989594
P17844	1.0056323	0.65165
P07327	1.005789739	0.5993
Q9UIK4	1.006160235	0.791895
P50502	1.006459434	0.7439
Q07666	1.006715465	0.798854
P27449	1.006877874	0.923745
Q13043	1.007587995	0.697075
O75937	1.007667433	0.680279
P53680	1.008150125	0.872053
Q92804	1.008347309	0.608396
Q14558	1.008502559	0.830449
Q9UK45	1.00861139	0.705338
Q9H251	1.008668535	0.914651
Q6UWD8	1.00883751	0.7658
P49368	1.008919472	0.810116
P49908	1.009354993	0.881799
P07384	1.009512347	0.9344
P51148	1.00963001	0.981982
P61204	1.010154528	0.705305
P13489	1.010173387	0.892565
P36873	1.010655496	0.736261
P42025	1.01093355	0.78225
Q8WW22	1.011070623	0.883952
O43390	1.011833261	0.568477
P10321	1.012256032	0.851344
P07195	1.012353274	0.933927
P08708	1.01271248	0.739579
P00492	1.012999785	0.967276
P20701	1.01301409	0.981685
Q5TEJ8	1.013486146	0.968193
P29992	1.014038309	0.96856
P07203	1.014166941	0.914293
P80188	1.014695245	0.826037
Q9Y450	1.015239223	0.783579
Q93034	1.015354197	0.894591
P06702	1.015755527	0.731674
P01860	1.016557437	0.703516
P35659	1.016630832	0.537379
Q13616	1.0171907	0.826549
P49137	1.017601886	0.721366
P43487	1.018011202	0.981207
O00178	1.018033855	0.796247
O15400	1.018320573	0.982178
Q53QZ3	1.019723718	0.587693
P24534	1.020209342	0.881806
O00187	1.020328091	0.948455
Q8IWU5	1.020341272	0.876846
P55769	1.020823031	0.97293
P62328	1.021026285	0.91591
O15305	1.021394644	0.594326
P05452	1.021532213	0.835705
P84095	1.022253452	0.720459
O95777	1.0225541	0.645219
P49458	1.022582608	0.756718
P39019	1.022592587	0.66969
Q00688	1.02312628	0.739857
P55957	1.023134168	0.712585
Q93015	1.023472989	0.672361
P18428	1.023818541	0.872041
P50749	1.024299209	0.864224
P30044	1.0246678	0.729468
P11234	1.024808031	0.687232
P48426	1.025081907	0.959814
O75822	1.026118561	0.967342
P04004	1.026282248	0.918791
Q96AE4	1.026836822	0.679858
Q16539	1.026895863	0.795763
Q15149	1.027067624	0.403082
Q99715	1.02755787	0.972503
P10155	1.027833669	0.981548
Q99439	1.027982693	0.72635
Q9UBW5	1.02867006	0.678788
P52272	1.028917501	0.699624
Q9UPR0	1.02908227	0.555357
P29401	1.029500317	0.678495
Q8NE71	1.029640345	0.719487
P09668	1.029737697	0.975032
P31948	1.030016512	0.805142
Q9Y6A4	1.030277192	0.659921
P26639	1.030788986	0.623048
P46777	1.030929551	0.67819
Q9BQ61	1.031875206	0.826795
P00966	1.032109703	0.621841
P31943	1.032778453	0.639943
P10644	1.03314768	0.921955
P50148	1.033900928	0.98323
P50552	1.034521174	0.476109
P14678	1.034718415	0.508477
O43681	1.035531472	0.699994
P24158	1.036239435	0.786182
A6NML5	1.036470061	0.975217
P51812	1.037053547	0.7573
P78344	1.037070195	0.783874
P51991	1.037442403	0.678379
P61106	1.037870682	0.914631
O95758	1.037916133	0.524128
Q9H479	1.03813649	0.780308
P01903	1.03858805	0.744731
P02745	1.038751194	0.803451
Q9HBI0	1.039627455	0.837763
Q14103	1.039900927	0.64461
Q16644	1.041336963	0.644625
P55786	1.041364503	0.695105
P47914	1.04253707	0.634144
P51149	1.042564417	0.811759
Q9P2J5	1.04269713	0.773459
P43490	1.044033477	0.869914
A6NI72	1.044266193	0.725719
P62314	1.045006288	0.432502
P68371	1.045667603	0.981387
P12956	1.045682851	0.538693
Q92882	1.045795835	0.695051
Q15796	1.045846354	0.637635
Q96KN2	1.046971777	0.914819
P18433	1.047289072	0.841089
P62258	1.047791778	0.937624
Q08752	1.048526383	0.516911
Q12846	1.048804845	0.690375
Q6Q788	1.049475002	0.942379
P25774	1.049602353	0.940997
P20073	1.050137669	0.701964
Q13214	1.050261548	0.966449
P61981	1.051237392	0.967309
P80723	1.051437964	0.969973
P16333	1.051972937	0.781403
