p_value	morans_test_statistic	morans_I	gene_short_name	q_value
0.5422754059573004	-0.106167838	-0.001896662	Cit	0.7918283676864812
0.5837252706820577	-0.211432936	-0.001897213	Gbp10	0.7918283676864812
0.5596461314796415	-0.150072093	-0.001897528	A630095N17Rik	0.7918283676864812
0.561115638438257	-0.153798365	-0.001897907	4933415A04Rik	0.7918283676864812
0.563233534932907	-0.15917255	-0.001899705	Doc2g	0.7918283676864812
0.5432772581300428	-0.108693643	-0.00190083	Gm13387	0.7918283676864812
0.5422236717429492	-0.106037428	-0.00190247	Zc3h4	0.7918283676864812
0.5607724855783033	-0.152928033	-0.001905009	Pkd1l2	0.7918283676864812
0.5606818759583685	-0.152698241	-0.00190527	Clnk	0.7918283676864812
0.543247956492918	-0.10861976	-0.001906295	Alg2	0.7918283676864812
0.542420545765708	-0.106533713	-0.001906462	Wdr7	0.7918283676864812
0.555591981735216	-0.139802502	-0.001906891	Calhm6	0.7918283676864812
0.5596389716516702	-0.150053943	-0.00190748	Lypd1	0.7918283676864812
0.5433854427685929	-0.108966433	-0.001907603	Cdc6	0.7918283676864812
0.5449724175996447	-0.112968959	-0.001907677	Ntpcr	0.7918283676864812
